# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1955,9,174.33,174.27
1955,10,174.19,174.17
1955,11,174.12,174.06
1955,12,174.02,174
1956,1,173.97,173.9
1956,2,173.77,173.74
1956,3,173.76,173.92
1956,4,174,174.08
1956,5,174.17,174.34
1956,6,174.41,174.4
1956,7,174.4,174.4
1956,8,174.37,174.38
1956,9,174.37,174.28
1956,10,174.18,174.12
1956,11,174.07,173.96
1956,12,173.89,173.92
1957,1,173.92,173.87
1957,2,173.85,173.85
1957,3,173.89,173.91
1957,4,173.94,174.12
1957,5,174.21,174.22
1957,6,174.24,174.24
1957,7,174.29,174.31
1957,8,174.28,174.19
1957,9,174.12,174.08
1957,10,174.03,173.95
1957,11,173.9,173.84
1957,12,173.82,173.86
1958,1,173.93,173.88
1958,2,173.8,173.71
1958,3,173.69,173.74
1958,4,173.75,173.8
1958,5,173.82,173.85
1958,6,173.85,173.89
1958,7,173.92,173.96
1958,8,173.96,173.96
1958,9,173.92,173.89
1958,10,173.86,173.77
1958,11,173.73,173.66
1958,12,173.64,173.59
1959,1,173.57,173.56
1959,2,173.61,173.68
1959,3,173.72,173.79
1959,4,173.88,173.96
1959,5,174.05,174.09
1959,6,174.11,174.08
1959,7,174.04,174
1959,8,173.96,173.92
1959,9,173.91,173.82
1959,10,173.78,173.79
1959,11,173.75,173.72
1959,12,173.72,173.79
1960,1,173.86,173.89
1960,2,173.92,173.92
1960,3,173.93,173.92
1960,4,173.97,174.1
1960,5,174.15,174.21
1960,6,174.25,174.3
1960,7,174.33,174.34
1960,8,174.31,174.31
1960,9,174.29,174.23
1960,10,174.17,174.09
1960,11,174.01,173.95
1960,12,173.94,173.87
1961,1,173.82,173.81
1961,2,173.77,173.8
1961,3,173.89,174.01
1961,4,174.07,174.18
1961,5,174.38,174.4
1961,6,174.37,174.38
1961,7,174.36,174.32
1961,8,174.32,174.29
1961,9,174.26,174.21
1961,10,174.13,174.03
1961,11,173.96,173.92
1961,12,173.89,173.86
1962,1,173.81,173.8
1962,2,173.79,173.78
1962,3,173.78,173.87
1962,4,173.96,173.99
1962,5,174.01,174.02
1962,6,174.01,174.05
1962,7,174.05,174.03
1962,8,174,173.99
1962,9,173.96,173.9
1962,10,173.88,173.86
1962,11,173.8,173.82
1962,12,173.81,173.78
1963,1,173.73,173.69
1963,2,173.63,173.6
1963,3,173.54,173.69
1963,4,173.83,173.87
1963,5,173.93,173.93
1963,6,173.93,173.92
1963,7,173.88,173.85
1963,8,173.83,173.8
1963,9,173.76,173.72
1963,10,173.66,173.62
1963,11,173.59,173.55
1963,12,173.53,173.48
1964,1,173.44,173.46
1964,2,173.46,173.48
1964,3,173.47,173.57
1964,4,173.66,173.76
1964,5,173.83,173.83
1964,6,173.81,173.81
1964,7,173.79,173.77
1964,8,173.72,173.7
1964,9,173.69,173.63
1964,10,173.57,173.48
1964,11,173.44,173.4
1964,12,173.38,173.4
1965,1,173.42,173.46
1965,2,173.46,173.51
1965,3,173.57,173.67
1965,4,173.71,173.8
1965,5,173.85,173.88
1965,6,173.88,173.89
1965,7,173.85,173.83
1965,8,173.79,173.78
1965,9,173.75,173.75
1965,10,173.71,173.67
1965,11,173.65,173.64
1965,12,173.63,173.67
1966,1,173.74,173.75
1966,2,173.71,173.76
1966,3,173.78,173.85
1966,4,173.91,173.96
1966,5,174.03,174.06
1966,6,174.05,174.08
1966,7,174.07,174.06
1966,8,174.02,174
1966,9,173.97,173.91
1966,10,173.83,173.73
1966,11,173.68,173.74
1966,12,173.75,173.89
1967,1,173.9,173.88
1967,2,173.89,173.88
1967,3,173.85,173.91
1967,4,173.98,174.08
1967,5,174.11,174.2
1967,6,174.18,174.2
1967,7,174.22,174.22
1967,8,174.19,174.18
1967,9,174.11,174.09
1967,10,174.04,174.02
1967,11,173.99,173.99
1967,12,173.98,174.06
1968,1,174.09,174.1
